"Resource","Total.Capacity","Current.Census","Available","Current.Utilization","Available.Capacity","Date"
"Ventilators",420,116,304,27.6,72.4,2021-07-24 06:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-24 07:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-24 07:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-24 07:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-24 13:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-24 13:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-24 13:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-24 19:12:01
"ICU Beds",317,288,13,90.9,9.1,2021-07-24 19:12:01
"Ventilators",420,116,304,27.6,72.4,2021-07-24 19:12:01
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-25 01:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-25 01:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-25 01:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-25 07:12:01
"ICU Beds",317,288,13,90.9,9.1,2021-07-25 07:12:01
"Ventilators",420,116,304,27.6,72.4,2021-07-25 07:12:01
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-25 13:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-25 13:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-25 13:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-25 18:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-25 18:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-25 18:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-25 19:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-25 19:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-25 19:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-26 00:12:01
"ICU Beds",317,288,13,90.9,9.1,2021-07-26 00:12:01
"Ventilators",420,116,304,27.6,72.4,2021-07-26 00:12:01
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-26 01:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-26 01:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-26 01:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-26 07:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-26 07:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-26 07:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-26 12:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-26 12:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-26 12:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-26 13:12:01
"ICU Beds",317,288,13,90.9,9.1,2021-07-26 13:12:01
"Ventilators",420,116,304,27.6,72.4,2021-07-26 13:12:01
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-26 18:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-26 18:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-26 18:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-26 19:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-26 19:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-26 19:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-27 01:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-27 01:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-27 01:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-27 07:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-27 07:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-27 07:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-27 12:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-27 12:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-27 12:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-27 13:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-27 13:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-27 13:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-27 18:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-27 18:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-27 18:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-27 19:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-27 19:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-27 19:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-28 01:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-28 01:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-28 01:12:00
"All Hospital Beds",3084,2503,473,81.2,18.8,2021-07-28 07:12:00
"ICU Beds",317,288,13,90.9,9.1,2021-07-28 07:12:00
"Ventilators",420,116,304,27.6,72.4,2021-07-28 07:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-28 13:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-28 13:12:00
"Ventilators",416,133,283,32,68,2021-07-28 13:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-28 19:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-28 19:12:00
"Ventilators",416,133,283,32,68,2021-07-28 19:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-29 01:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-29 01:12:00
"Ventilators",416,133,283,32,68,2021-07-29 01:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-29 07:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-29 07:12:00
"Ventilators",416,133,283,32,68,2021-07-29 07:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-29 13:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-29 13:12:00
"Ventilators",416,133,283,32,68,2021-07-29 13:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-29 18:12:01
"ICU Beds",317,296,10,93.4,6.6,2021-07-29 18:12:01
"Ventilators",416,133,283,32,68,2021-07-29 18:12:01
"All Hospital Beds",3084,2499,452,81,19,2021-07-29 19:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-29 19:12:00
"Ventilators",416,133,283,32,68,2021-07-29 19:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-30 01:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-30 01:12:00
"Ventilators",416,133,283,32,68,2021-07-30 01:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-30 07:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-30 07:12:00
"Ventilators",416,133,283,32,68,2021-07-30 07:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-30 12:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-30 12:12:00
"Ventilators",416,133,283,32,68,2021-07-30 12:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-30 13:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-30 13:12:00
"Ventilators",416,133,283,32,68,2021-07-30 13:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-30 19:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-30 19:12:00
"Ventilators",416,133,283,32,68,2021-07-30 19:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-31 01:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-31 01:12:00
"Ventilators",416,133,283,32,68,2021-07-31 01:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-31 07:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-31 07:12:00
"Ventilators",416,133,283,32,68,2021-07-31 07:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-31 13:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-31 13:12:00
"Ventilators",416,133,283,32,68,2021-07-31 13:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-31 18:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-31 18:12:00
"Ventilators",416,133,283,32,68,2021-07-31 18:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-07-31 19:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-07-31 19:12:00
"Ventilators",416,133,283,32,68,2021-07-31 19:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-01 01:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-01 01:12:00
"Ventilators",416,133,283,32,68,2021-08-01 01:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-01 07:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-01 07:12:00
"Ventilators",416,133,283,32,68,2021-08-01 07:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-01 12:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-01 12:12:00
"Ventilators",416,133,283,32,68,2021-08-01 12:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-01 13:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-01 13:12:00
"Ventilators",416,133,283,32,68,2021-08-01 13:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-01 19:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-01 19:12:00
"Ventilators",416,133,283,32,68,2021-08-01 19:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-02 01:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-02 01:12:00
"Ventilators",416,133,283,32,68,2021-08-02 01:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-02 07:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-02 07:12:00
"Ventilators",416,133,283,32,68,2021-08-02 07:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-02 13:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-02 13:12:00
"Ventilators",416,133,283,32,68,2021-08-02 13:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-02 19:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-02 19:12:00
"Ventilators",416,133,283,32,68,2021-08-02 19:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-03 01:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-03 01:12:00
"Ventilators",416,133,283,32,68,2021-08-03 01:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-03 07:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-03 07:12:00
"Ventilators",416,133,283,32,68,2021-08-03 07:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-03 13:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-03 13:12:00
"Ventilators",416,133,283,32,68,2021-08-03 13:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-03 18:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-03 18:12:00
"Ventilators",416,133,283,32,68,2021-08-03 18:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-03 19:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-03 19:12:00
"Ventilators",416,133,283,32,68,2021-08-03 19:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-04 00:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-04 00:12:00
"Ventilators",416,133,283,32,68,2021-08-04 00:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-04 01:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-04 01:12:00
"Ventilators",416,133,283,32,68,2021-08-04 01:12:00
"All Hospital Beds",3084,2499,452,81,19,2021-08-04 07:12:00
"ICU Beds",317,296,10,93.4,6.6,2021-08-04 07:12:00
"Ventilators",416,133,283,32,68,2021-08-04 07:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-04 13:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-04 13:12:00
"Ventilators",400,148,252,37,63,2021-08-04 13:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-04 18:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-04 18:12:00
"Ventilators",400,148,252,37,63,2021-08-04 18:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-04 19:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-04 19:12:00
"Ventilators",400,148,252,37,63,2021-08-04 19:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-05 01:12:01
"ICU Beds",317,304,13,95.9,4.1,2021-08-05 01:12:01
"Ventilators",400,148,252,37,63,2021-08-05 01:12:01
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-05 07:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-05 07:12:00
"Ventilators",400,148,252,37,63,2021-08-05 07:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-05 13:12:01
"ICU Beds",317,304,13,95.9,4.1,2021-08-05 13:12:01
"Ventilators",400,148,252,37,63,2021-08-05 13:12:01
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-05 19:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-05 19:12:00
"Ventilators",400,148,252,37,63,2021-08-05 19:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-06 00:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-06 00:12:00
"Ventilators",400,148,252,37,63,2021-08-06 00:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-06 01:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-06 01:12:00
"Ventilators",400,148,252,37,63,2021-08-06 01:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-06 07:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-06 07:12:00
"Ventilators",400,148,252,37,63,2021-08-06 07:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-06 13:12:01
"ICU Beds",317,304,13,95.9,4.1,2021-08-06 13:12:01
"Ventilators",400,148,252,37,63,2021-08-06 13:12:01
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-06 18:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-06 18:12:00
"Ventilators",400,148,252,37,63,2021-08-06 18:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-06 19:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-06 19:12:00
"Ventilators",400,148,252,37,63,2021-08-06 19:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-07 01:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-07 01:12:00
"Ventilators",400,148,252,37,63,2021-08-07 01:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-07 07:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-07 07:12:00
"Ventilators",400,148,252,37,63,2021-08-07 07:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-07 13:12:01
"ICU Beds",317,304,13,95.9,4.1,2021-08-07 13:12:01
"Ventilators",400,148,252,37,63,2021-08-07 13:12:01
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-07 19:12:01
"ICU Beds",317,304,13,95.9,4.1,2021-08-07 19:12:01
"Ventilators",400,148,252,37,63,2021-08-07 19:12:01
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-08 01:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-08 01:12:00
"Ventilators",400,148,252,37,63,2021-08-08 01:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-08 07:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-08 07:12:00
"Ventilators",400,148,252,37,63,2021-08-08 07:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-08 13:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-08 13:12:00
"Ventilators",400,148,252,37,63,2021-08-08 13:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-08 19:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-08 19:12:00
"Ventilators",400,148,252,37,63,2021-08-08 19:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-09 01:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-09 01:12:00
"Ventilators",400,148,252,37,63,2021-08-09 01:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-09 07:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-09 07:12:00
"Ventilators",400,148,252,37,63,2021-08-09 07:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-09 13:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-09 13:12:00
"Ventilators",400,148,252,37,63,2021-08-09 13:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-09 19:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-09 19:12:00
"Ventilators",400,148,252,37,63,2021-08-09 19:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-10 01:12:01
"ICU Beds",317,304,13,95.9,4.1,2021-08-10 01:12:01
"Ventilators",400,148,252,37,63,2021-08-10 01:12:01
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-10 07:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-10 07:12:00
"Ventilators",400,148,252,37,63,2021-08-10 07:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-10 13:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-10 13:12:00
"Ventilators",400,148,252,37,63,2021-08-10 13:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-10 18:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-10 18:12:00
"Ventilators",400,148,252,37,63,2021-08-10 18:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-10 19:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-10 19:12:00
"Ventilators",400,148,252,37,63,2021-08-10 19:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-11 01:12:00
"ICU Beds",317,304,13,95.9,4.1,2021-08-11 01:12:00
"Ventilators",400,148,252,37,63,2021-08-11 01:12:00
"All Hospital Beds",3077,2610,431,84.8,15.2,2021-08-11 07:12:01
"ICU Beds",317,304,13,95.9,4.1,2021-08-11 07:12:01
"Ventilators",400,148,252,37,63,2021-08-11 07:12:01
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-17 13:12:00
"ICU Beds",317,303,8,95.6,4.4,2021-08-17 13:12:00
"Ventilators",412,192,220,46.6,53.4,2021-08-17 13:12:00
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-17 18:12:00
"ICU Beds",317,303,8,95.6,4.4,2021-08-17 18:12:00
"Ventilators",412,192,220,46.6,53.4,2021-08-17 18:12:00
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-17 19:12:00
"ICU Beds",317,303,8,95.6,4.4,2021-08-17 19:12:00
"Ventilators",412,192,220,46.6,53.4,2021-08-17 19:12:00
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-18 01:12:01
"ICU Beds",317,303,8,95.6,4.4,2021-08-18 01:12:01
"Ventilators",412,192,220,46.6,53.4,2021-08-18 01:12:01
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-18 07:12:00
"ICU Beds",317,303,8,95.6,4.4,2021-08-18 07:12:00
"Ventilators",412,192,220,46.6,53.4,2021-08-18 07:12:00
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-18 13:12:00
"ICU Beds",317,303,8,95.6,4.4,2021-08-18 13:12:00
"Ventilators",412,192,220,46.6,53.4,2021-08-18 13:12:00
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-18 18:13:57
"ICU Beds",317,303,8,95.6,4.4,2021-08-18 18:13:57
"Ventilators",412,192,220,46.6,53.4,2021-08-18 18:13:57
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-18 19:12:00
"ICU Beds",317,303,8,95.6,4.4,2021-08-18 19:12:00
"Ventilators",412,192,220,46.6,53.4,2021-08-18 19:12:00
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-19 01:12:00
"ICU Beds",317,303,8,95.6,4.4,2021-08-19 01:12:00
"Ventilators",412,192,220,46.6,53.4,2021-08-19 01:12:00
"All Hospital Beds",3078,2499,486,81.2,18.8,2021-08-19 07:12:01
"ICU Beds",317,303,8,95.6,4.4,2021-08-19 07:12:01
"Ventilators",412,192,220,46.6,53.4,2021-08-19 07:12:01
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-19 13:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-19 13:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-19 13:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-19 19:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-19 19:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-19 19:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-20 00:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-20 00:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-20 00:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-20 01:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-20 01:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-20 01:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-20 07:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-20 07:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-20 07:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-20 13:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-20 13:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-20 13:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-20 19:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-20 19:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-20 19:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-21 01:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-21 01:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-21 01:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-21 07:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-21 07:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-21 07:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-21 13:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-21 13:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-21 13:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-21 19:12:01
"ICU Beds",317,308,7,97.2,2.8,2021-08-21 19:12:01
"Ventilators",398,198,200,49.7,50.3,2021-08-21 19:12:01
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-22 00:12:24
"ICU Beds",317,308,7,97.2,2.8,2021-08-22 00:12:24
"Ventilators",398,198,200,49.7,50.3,2021-08-22 00:12:24
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-22 01:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-22 01:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-22 01:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-22 07:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-22 07:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-22 07:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-22 12:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-22 12:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-22 12:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-22 13:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-22 13:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-22 13:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-22 19:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-22 19:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-22 19:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-23 01:12:01
"ICU Beds",317,308,7,97.2,2.8,2021-08-23 01:12:01
"Ventilators",398,198,200,49.7,50.3,2021-08-23 01:12:01
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-23 07:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-23 07:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-23 07:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-23 13:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-23 13:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-23 13:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-23 18:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-23 18:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-23 18:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-23 19:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-23 19:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-23 19:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-24 01:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-24 01:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-24 01:12:00
"All Hospital Beds",3076,2495,350,81.1,18.9,2021-08-24 07:12:00
"ICU Beds",317,308,7,97.2,2.8,2021-08-24 07:12:00
"Ventilators",398,198,200,49.7,50.3,2021-08-24 07:12:00
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-24 13:12:01
"ICU Beds",317,316,5,99.7,0.3,2021-08-24 13:12:01
"Ventilators",424,227,197,53.5,46.5,2021-08-24 13:12:01
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-24 19:12:01
"ICU Beds",317,316,5,99.7,0.3,2021-08-24 19:12:01
"Ventilators",424,227,197,53.5,46.5,2021-08-24 19:12:01
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-25 01:12:00
"ICU Beds",317,316,5,99.7,0.3,2021-08-25 01:12:00
"Ventilators",424,227,197,53.5,46.5,2021-08-25 01:12:00
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-25 07:12:00
"ICU Beds",317,316,5,99.7,0.3,2021-08-25 07:12:00
"Ventilators",424,227,197,53.5,46.5,2021-08-25 07:12:00
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-25 13:12:00
"ICU Beds",317,316,5,99.7,0.3,2021-08-25 13:12:00
"Ventilators",424,227,197,53.5,46.5,2021-08-25 13:12:00
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-25 18:14:03
"ICU Beds",317,316,5,99.7,0.3,2021-08-25 18:14:03
"Ventilators",424,227,197,53.5,46.5,2021-08-25 18:14:03
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-25 19:12:00
"ICU Beds",317,316,5,99.7,0.3,2021-08-25 19:12:00
"Ventilators",424,227,197,53.5,46.5,2021-08-25 19:12:00
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-26 01:12:00
"ICU Beds",317,316,5,99.7,0.3,2021-08-26 01:12:00
"Ventilators",424,227,197,53.5,46.5,2021-08-26 01:12:00
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-26 07:12:00
"ICU Beds",317,316,5,99.7,0.3,2021-08-26 07:12:00
"Ventilators",424,227,197,53.5,46.5,2021-08-26 07:12:00
"All Hospital Beds",3076,2702,422,87.8,12.2,2021-08-26 12:12:00
